Date,forecast_load_mw,Temperature
2015-02-27,13255.95,6.0
2015-02-28,12481.55,5.5
2015-03-01,11330.920833333334,17.5
2015-03-02,12088.691666666668,23.0
2015-03-03,12127.895833333334,29.0
2015-03-04,12278.05,20.5
2015-03-05,12970.85,9.5
2015-03-06,13015.9375,13.5
2015-03-07,11242.8375,34.0
2015-03-08,10201.2625,34.0
2015-03-09,11042.7,37.5
2015-03-10,10975.129166666668,43.0
2015-03-11,10835.470833333333,40.5
2015-03-12,10845.770833333334,42.0
2015-03-13,10427.229166666666,51.0
2015-03-14,9421.558333333332,48.5
2015-03-15,8946.0375,45.5
2015-03-16,9961.879166666668,57.5
2015-03-17,10515.045833333334,36.5
2015-03-18,10801.245833333332,39.0
2015-03-19,10639.379166666668,41.5
2015-03-20,10476.5,44.0
2015-03-21,9595.216666666667,40.5
2015-03-22,9440.5875,30.5
2015-03-23,11075.8625,29.5
2015-03-24,11310.4875,28.0
2015-03-25,11066.145833333334,38.0
2015-03-26,11050.4875,36.5
2015-03-27,11245.208333333334,26.0
2015-03-28,10614.125,28.0
2015-03-29,9926.266666666666,35.5
2015-03-30,10506.220833333333,47.5
2015-03-31,10444.104166666666,48.5
2015-04-01,10459.879166666668,53.5
2015-04-02,10323.533333333333,57.5
2015-04-03,10169.245833333332,41.5
2015-04-04,9586.654166666667,43.0
2015-04-05,8898.1875,51.0
2015-04-06,9975.895833333334,48.0
2015-04-07,10448.379166666668,42.0
2015-04-08,10534.745833333332,45.0
2015-04-09,10690.658333333333,56.0
2015-04-10,10349.241666666669,50.5
2015-04-11,9394.6625,50.0
2015-04-12,8785.729166666666,54.5
2015-04-13,10007.341666666667,57.0
2015-04-14,10224.491666666669,52.5
2015-04-15,10242.045833333334,53.5
2015-04-16,10109.15,55.5
2015-04-17,10143.704166666666,61.5
2015-04-18,9227.491666666669,56.0
2015-04-19,8585.5625,58.0
2015-04-20,9842.75,46.5
2015-04-21,10270.85,46.0
2015-04-22,10447.729166666666,40.0
2015-04-23,10445.0375,43.5
2015-04-24,10251.1,43.0
2015-04-25,9512.2375,43.5
2015-04-26,8859.695833333333,45.5
2015-04-27,9967.366666666669,46.5
2015-04-28,10230.683333333332,46.5
2015-04-29,10160.4375,49.5
2015-04-30,10105.733333333334,44.5
2015-05-01,10112.420833333334,52.5
2015-05-02,9262.854166666666,63.0
2015-05-03,8984.958333333334,66.5
2015-05-04,10615.083333333334,64.5
2015-05-05,10312.883333333331,51.5
2015-05-06,10515.095833333333,61.5
2015-05-07,11249.045833333334,67.5
2015-05-08,11866.7875,72.0
2015-05-09,10033.6625,55.5
2015-05-10,8750.241666666667,49.5
2015-05-11,10050.1125,57.5
